trip_count,trip_time,trip_distance,total_amount,tip_amount,passenger_count,year,month,weekday,customer_waiting_time,driver_waiting_time
1771234,0 days 00:17:17.492867119,4.546113841536469,24.14386829746944,0.8013360007768595,,2022,0,2,0 days 00:02:43.355197243,0 days 00:01:07.374400488
1897828,0 days 00:17:38.841514005,4.612498218489768,24.59111758810597,0.8018401983741414,,2022,0,3,0 days 00:02:44.129705259,0 days 00:01:07.464658478
2247779,0 days 00:17:41.155811650,4.479036343875446,24.757283536326273,0.8013723858083912,,2022,0,4,0 days 00:03:16.241870951,0 days 00:01:06.637341325
2604442,0 days 00:15:58.893001991,4.51477277052052,25.522157982400834,0.8230246402108398,,2022,0,5,0 days 00:03:41.538533846,0 days 00:01:07.810427066
2344657,0 days 00:16:05.928703400,4.909117675634435,25.75899715821972,0.8077651741811276,,2022,0,6,0 days 00:03:31.040903006,0 days 00:01:06.787815634
2050037,0 days 00:18:20.929433468,4.833315436257983,26.746206151401154,0.8847417095398764,,2022,1,0,0 days 00:03:49.351117210,0 days 00:01:03.970761476
1984740,0 days 00:18:33.963269748,4.661909662726603,26.381850141580266,0.8885451142215103,,2022,1,1,0 days 00:03:38.800754266,0 days 00:01:03.837342889
2015351,0 days 00:19:11.747765525,4.721047421019961,26.81932055507947,0.9109280269293043,,2022,1,2,0 days 00:03:23.182218614,0 days 00:01:05.011918748
2209044,0 days 00:19:25.780618674,4.756043893648111,27.397778428134533,0.9322787097042883,,2022,1,3,0 days 00:03:26.793850052,0 days 00:01:05.389312462
2574269,0 days 00:18:52.837670033,4.588491315787122,26.62352672545099,0.8903828892784709,,2022,1,4,0 days 00:03:46.385841610,0 days 00:01:05.347417653
2806522,0 days 00:17:46.414672680,4.623927789983476,26.400887507740904,0.8698702237146193,,2022,1,5,0 days 00:03:51.205305278,0 days 00:01:04.843436253
2379320,0 days 00:16:55.878091588,4.9950566489585295,27.312602369584564,0.8691414227594438,,2022,1,6,0 days 00:03:56.949810465,0 days 00:01:04.632900233
2037361,0 days 00:18:41.433703698,5.017217543675368,28.15658052254853,0.9960244158988028,,2022,2,0,0 days 00:03:30.097751272,0 days 00:01:06.907312809
2623319,0 days 00:19:03.777579852,4.827581517916807,28.145790591994363,1.0267845542231044,,2022,2,1,0 days 00:03:25.482128868,0 days 00:01:07.192110777
2838993,0 days 00:19:10.586862313,4.8007340451350204,28.327419570953488,1.0453389811105558,,2022,2,2,0 days 00:03:25.249497423,0 days 00:01:07.601851951
3010701,0 days 00:19:41.157320504,4.913720537509371,29.55967920759982,1.0726089505400902,,2022,2,3,0 days 00:03:34.047319898,0 days 00:01:07.726241741
2639791,0 days 00:20:04.078096334,4.875315361708561,29.301817416606095,1.011703479555768,,2022,2,4,0 days 00:03:59.172188731,0 days 00:01:06.746658611
2911403,0 days 00:17:36.685565,4.765317339784291,27.064726645538247,0.921563771830969,,2022,2,5,0 days 00:03:36.654741466,0 days 00:01:08.165037670
2391980,0 days 00:17:55.030883201,5.293578410772664,28.988927938360685,0.9564610657279746,,2022,2,6,0 days 00:04:00.833293888,0 days 00:01:07.107816746
1973615,0 days 00:18:57.574767115,5.152719430081351,29.158322058760188,1.084093559280812,,2022,3,0,0 days 00:03:47.192690691,0 days 00:01:06.514948859
2107954,0 days 00:19:47.891711583,5.041920551397229,30.842876291418147,1.1851027441775293,,2022,3,1,0 days 00:04:15.511549708,0 days 00:01:05.563372789
2231618,0 days 00:20:03.867205319,5.032676870324582,31.03279583244084,1.1877830704000416,,2022,3,2,0 days 00:03:58.127350168,0 days 00:01:04.968380163
2430097,0 days 00:20:14.555121462,5.007511798911735,31.475885616911615,1.1956359849010143,,2022,3,3,0 days 00:04:12.325814165,0 days 00:01:05.397589832
3225521,0 days 00:19:59.469425559,5.016779502908213,30.589745724799144,1.1131611389291836,,2022,3,4,0 days 00:04:27.729798360,0 days 00:01:04.292951208
3447696,0 days 00:18:38.577943647,4.931764570310147,30.158963612221008,1.0393462213605837,,2022,3,5,0 days 00:04:45.691345655,0 days 00:01:03.400311059
2336060,0 days 00:17:51.288647123,5.373609042147892,30.06174224977098,1.0230500244000582,,2022,3,6,0 days 00:04:27.996093065,0 days 00:01:04.917606044
2541403,0 days 00:19:20.783545545,5.322747094419894,31.213003187609356,1.1356804056656893,,2022,4,0,0 days 00:04:30.552266176,0 days 00:01:00.457740569
2617600,0 days 00:20:38.821246561,5.123642578316011,32.180815804553774,1.2163264975550119,,2022,4,1,0 days 00:04:22.727929680,0 days 00:01:00.358226901
2237311,0 days 00:21:02.739239649,5.140202358098629,32.82557836617263,1.2658680666210465,,2022,4,2,0 days 00:04:11.005787437,0 days 00:01:01.350327649
2392823,0 days 00:21:25.482512914,5.180291773775158,33.13112722921837,1.2504537652805914,,2022,4,3,0 days 00:04:12.148978494,0 days 00:01:01.974538292
2638330,0 days 00:20:45.802306383,4.941234350896212,32.349312083780276,1.1545773045828236,,2022,4,4,0 days 00:04:46.385960878,0 days 00:01:02.185853192
2791454,0 days 00:18:56.249078437,4.966135778701712,31.157781056037454,1.074911852389472,,2022,4,5,0 days 00:05:01.581202303,0 days 00:01:01.085884854
2938414,0 days 00:18:53.028030427,5.4813964999486116,33.27884598290099,1.1034094855251846,,2022,4,6,0 days 00:05:24.695477275,0 days 00:00:58.952614377
2028541,0 days 00:19:27.151268818,5.2847720095378845,30.85289683570607,1.1643546667284517,,2022,5,0,0 days 00:04:14.260152473,0 days 00:01:01.120178270
2145137,0 days 00:20:19.246688673,5.057609955914234,31.83167183261489,1.2392830574457483,,2022,5,1,0 days 00:04:09.188353675,0 days 00:01:01.107254794
2836388,0 days 00:20:41.568835434,4.999778637478369,31.978439762119976,1.2239608720668687,,2022,5,2,0 days 00:04:05.671376948,0 days 00:01:01.922915933
2979587,0 days 00:21:14.039956879,5.162942593050647,32.694924873816404,1.240410083679382,,2022,5,3,0 days 00:04:05.141564678,0 days 00:01:02.749152726
2608743,0 days 00:21:18.608751417,5.1420293482339945,32.157988529341544,1.173444666645967,,2022,5,4,0 days 00:04:31.617046918,0 days 00:01:01.816241338
2789465,0 days 00:19:30.108998678,5.110825570853194,30.38621618482396,1.0351342461726534,,2022,5,5,0 days 00:04:26.499435669,0 days 00:01:00.646476605
2392214,0 days 00:18:57.230938787,5.476600888549265,31.971019101969972,1.0712983370216875,,2022,5,6,0 days 00:04:37.633784070,0 days 00:01:00.222598738
1915343,0 days 00:18:35.964620958,5.294034583361826,29.424391850441417,1.0634735136213203,,2022,6,0,0 days 00:04:15.002840997,0 days 00:00:59.293496143
2010384,0 days 00:19:07.064663268,5.134600348490633,29.47818529196413,1.127126558906159,,2022,6,1,0 days 00:03:50.956433578,0 days 00:00:59.600204601
2117479,0 days 00:19:39.333620782,5.102799917732356,29.807126781422628,1.150968004877498,,2022,6,2,0 days 00:03:44.567737477,0 days 00:01:00.110931652
2260969,0 days 00:20:05.271304029,5.118191776180926,29.86623123536857,1.137920024555843,,2022,6,3,0 days 00:03:40.905434378,0 days 00:01:01.031575106
3089015,0 days 00:19:39.802932973,5.0487258197192295,28.80416922870235,1.0310709368520385,,2022,6,4,0 days 00:03:39.477207072,0 days 00:01:02.098897955
3233008,0 days 00:18:18.007774802,5.067886124005881,28.339820093238234,0.9619868493984548,,2022,6,5,0 days 00:04:08.182496617,0 days 00:00:59.662934787
2838421,0 days 00:18:00.494180391,5.404175203044226,29.17326120050551,0.9722435748608117,,2022,6,6,0 days 00:04:06.326047106,0 days 00:00:59.281003904
2403507,0 days 00:18:43.547716316,5.262289300592842,28.62176187962011,1.0474731257283627,,2022,7,0,0 days 00:03:44.649306062,0 days 00:01:00.047622010
2521401,0 days 00:19:02.480499135,5.10568678088095,28.93259083739555,1.096864977050457,,2022,7,1,0 days 00:03:40.463287228,0 days 00:01:00.045662241
2622491,0 days 00:19:40.990579185,5.1580034978194425,29.383592172480284,1.1081926725392,,2022,7,2,0 days 00:03:33.146219471,0 days 00:01:00.896171661
2236155,0 days 00:20:14.834611196,5.187587067533333,30.046422439410524,1.1045562226232084,,2022,7,3,0 days 00:03:43.194849697,0 days 00:01:01.000471442
