trip_count,trip_time,trip_distance,total_amount,tip_amount,passenger_count,year,month,hour
1950,0 days 00:27:46.333846153,7.029882051282051,32.695005128205125,1.3289333333333333,0.6707692307692308,2021,11,6
3822,0 days 00:33:47.623757195,5.1393171114599685,25.106718995290425,1.3061302982731555,0.8197278911564626,2021,11,7
5346,0 days 00:27:35.714552936,4.660138421249532,23.927181069958852,1.3154900860456418,0.8148148148148148,2021,11,8
6000,0 days 00:22:54.453833333,4.733093333333333,23.720603333333333,1.2018666666666669,0.806,2021,11,9
6491,0 days 00:24:27.139269758,4.471563703589585,23.66393775997535,1.1473994761978124,0.8598058850716377,2021,11,10
6535,0 days 00:25:37.200765110,4.5327926549349655,23.490466717674064,1.16796480489671,0.8654934965570008,2021,11,11
6642,0 days 00:25:32.995031616,4.654792231255646,24.010820535983136,1.1978410117434506,0.8721770551038843,2021,11,12
6470,0 days 00:22:55.140185471,4.4621190108191655,23.586457496136013,1.2527805255023186,0.897063369397218,2021,11,13
6752,0 days 00:26:23.609893364,4.359805983412323,23.483942535545026,1.3801258886255925,0.9386848341232228,2021,11,14
7262,0 days 00:28:53.896309556,4.586664830625172,23.158113467364366,1.4000041310933626,0.9878821261360506,2021,11,15
6553,0 days 00:28:31.826644285,4.308780711124676,23.48372501144514,1.5343461010224324,1.013734167556844,2021,11,16
6534,0 days 00:24:32.485460667,4.078691460055096,22.532943067033976,1.5440266299357206,1.0330578512396693,2021,11,17
5994,0 days 00:23:18.572238905,3.823073073073073,21.18833833833834,1.5749516182849517,1.0849182515849183,2021,11,18
5386,0 days 00:20:59.978091347,3.7760025993316004,20.28879502413665,1.552445228369848,1.1093575937616043,2021,11,19
4293,0 days 00:20:21.402049848,3.883342650826928,20.387668297228046,1.5458420684835779,1.0405310971348707,2021,11,20
3366,0 days 00:19:00.700237670,3.819382055852644,19.765490196078435,1.5380124777183604,1.0282234105763517,2021,11,21
2763,0 days 00:18:59.619254433,3.8713499819037276,20.647690915671372,1.6084437205935578,1.075280492218603,2021,11,22
2264,0 days 00:17:01.678886925,3.74827296819788,21.54581272084806,1.4727340989399293,1.1020318021201414,2021,11,23
939,0 days 00:23:03.197018104,3.1376144834930777,17.695079872204474,1.7266666666666666,1.167199148029819,2022,0,0
653,0 days 00:18:26.468606431,2.92906584992343,17.34532924961715,1.7094180704441042,1.1454823889739663,2022,0,1
450,0 days 00:12:14.268888888,3.016311111111111,17.602866666666667,1.7882444444444445,1.1155555555555556,2022,0,2
340,0 days 00:21:50.667647058,3.9325588235294116,21.477705882352943,1.9430588235294113,1.2441176470588236,2022,0,3
294,0 days 00:18:27.972789115,3.833265306122449,24.197551020408163,2.734591836734694,1.0204081632653061,2022,0,4
345,0 days 00:26:17.591304347,4.476318840579712,29.183681159420292,2.2945217391304347,0.855072463768116,2022,0,5
994,0 days 00:18:22.155935613,3.3225955734406436,20.121871227364185,1.7853118712273641,0.9094567404426559,2022,0,6
2498,0 days 00:28:22.913130504,2.7801281024819855,17.557101681345078,1.6209687750200161,1.020416333066453,2022,0,7
3356,0 days 00:19:37.264898688,2.857657926102503,17.475050655542315,1.7725566150178784,1.0587008343265794,2022,0,8
3532,0 days 00:18:20.921857304,2.824872593431484,17.64268403171008,1.6397706681766702,1.1248584371460928,2022,0,9
3746,0 days 00:17:48.315803523,2.7046956753870797,17.273473037907102,1.5066550987720233,1.132674853176722,2022,0,10
3692,0 days 00:19:30.025460455,2.8094609967497295,17.56838299024919,1.5205985915492957,1.1573672806067172,2022,0,11
3645,0 days 00:17:55.893827160,2.9481179698216735,17.714842249657067,1.6081700960219476,1.126474622770919,2022,0,12
3914,0 days 00:19:55.168369954,2.8882856412876854,17.73371742462954,1.5882958610117528,1.1440981093510476,2022,0,13
4378,0 days 00:23:05.508451347,2.8449999999999998,17.409465509365006,1.6530698949291913,1.128369118318867,2022,0,14
4716,0 days 00:21:20.660093299,2.756636980491942,17.14770780322307,1.6301166242578458,1.1545801526717556,2022,0,15
4815,0 days 00:17:14.219937694,2.6281308411214956,17.354168224299066,1.6295244029075804,1.1715472481827622,2022,0,16
4634,0 days 00:18:21.359516616,2.8449417350021577,17.411361674579197,1.7612365127319807,1.1620630125161848,2022,0,17
4310,0 days 00:17:52.977494199,2.744257540603248,17.037102088167053,1.7999164733178654,1.1638051044083526,2022,0,18
3704,0 days 00:15:01.431425485,2.7079562634989203,16.915294276457885,1.708158747300216,1.1460583153347732,2022,0,19
2557,0 days 00:17:17.648025029,2.8119945248337896,16.49009385999218,1.6870082127493158,1.113414157215487,2022,0,20
1983,0 days 00:19:01.187594553,2.91958648512355,17.0563691376702,1.6591376701966718,1.140191628845184,2022,0,21
1657,0 days 00:14:27.065781532,2.9777549788774893,17.309384429692216,1.6432468316234161,1.1744115872057936,2022,0,22
1343,0 days 00:12:50.231571109,2.9750707371556215,17.79007446016381,1.5781459419210722,1.1563663440059568,2022,0,23
